Date,Algeria,Libya,Mauritania,Morocco,Tunisia
1/22/20,0,0,0,0,0
1/23/20,0,0,0,0,0
1/24/20,0,0,0,0,0
1/25/20,0,0,0,0,0
1/26/20,0,0,0,0,0
1/27/20,0,0,0,0,0
1/28/20,0,0,0,0,0
1/29/20,0,0,0,0,0
1/30/20,0,0,0,0,0
1/31/20,0,0,0,0,0
2/1/20,0,0,0,0,0
2/2/20,0,0,0,0,0
2/3/20,0,0,0,0,0
2/4/20,0,0,0,0,0
2/5/20,0,0,0,0,0
2/6/20,0,0,0,0,0
2/7/20,0,0,0,0,0
2/8/20,0,0,0,0,0
2/9/20,0,0,0,0,0
2/10/20,0,0,0,0,0
2/11/20,0,0,0,0,0
2/12/20,0,0,0,0,0
2/13/20,0,0,0,0,0
2/14/20,0,0,0,0,0
2/15/20,0,0,0,0,0
2/16/20,0,0,0,0,0
2/17/20,0,0,0,0,0
2/18/20,0,0,0,0,0
2/19/20,0,0,0,0,0
2/20/20,0,0,0,0,0
2/21/20,0,0,0,0,0
2/22/20,0,0,0,0,0
2/23/20,0,0,0,0,0
2/24/20,0,0,0,0,0
2/25/20,0,0,0,0,0
2/26/20,0,0,0,0,0
2/27/20,0,0,0,0,0
2/28/20,0,0,0,0,0
2/29/20,0,0,0,0,0
3/1/20,0,0,0,0,0
3/2/20,0,0,0,0,0
3/3/20,0,0,0,0,0
3/4/20,0,0,0,0,0
3/5/20,0,0,0,0,0
3/6/20,0,0,0,0,0
3/7/20,0,0,0,0,0
3/8/20,0,0,0,0,0
3/9/20,0,0,0,0,0
3/10/20,0,0,0,0,0
3/11/20,0,0,0,0,0
3/12/20,8,0,0,0,0
3/13/20,8,0,0,1,0
3/14/20,12,0,0,1,0
3/15/20,12,0,0,1,0
3/16/20,12,0,0,1,0
3/17/20,12,0,0,1,0
3/18/20,12,0,0,1,0
3/19/20,32,0,0,1,0
3/20/20,32,0,0,1,0
3/21/20,32,0,0,3,0
3/22/20,65,0,0,3,1
3/23/20,65,0,0,3,1
3/24/20,24,0,0,6,1
3/25/20,65,0,0,7,2
3/26/20,29,0,0,8,2
3/27/20,29,0,0,11,2
3/28/20,31,0,0,11,2
3/29/20,31,0,2,13,2
3/30/20,37,0,2,15,3
3/31/20,46,1,2,24,3
4/1/20,61,0,2,29,5
4/2/20,61,0,2,31,5
4/3/20,62,0,2,57,5
4/4/20,90,0,2,66,5
4/5/20,90,0,2,76,5
4/6/20,90,1,2,81,5
4/7/20,113,1,2,93,25
4/8/20,237,8,2,97,25
4/9/20,347,8,2,109,25
4/10/20,405,8,2,122,25
4/11/20,460,8,2,146,43
4/12/20,591,9,2,177,43
4/13/20,601,9,2,203,43
4/14/20,691,9,2,217,43
4/15/20,708,9,2,229,43
4/16/20,783,11,2,249,43
4/17/20,846,11,2,281,43
4/18/20,894,11,2,314,43
4/19/20,1047,11,6,327,43
4/20/20,1099,15,6,350,148
4/21/20,1152,15,6,393,148
4/22/20,1204,15,6,417,190
4/23/20,1355,15,6,456,190
4/24/20,1408,18,6,486,194
4/25/20,1479,18,6,537,207
4/26/20,1508,18,6,593,216
4/27/20,1558,18,6,695,279
4/28/20,1651,18,6,778,279
4/29/20,1702,18,6,928,294
4/30/20,1779,18,6,984,305
5/1/20,1821,18,6,1083,316
5/2/20,1872,22,6,1256,323
5/3/20,1936,22,6,1438,328
5/4/20,1998,23,6,1653,406
5/5/20,2067,23,6,1838,482
5/6/20,2197,24,6,2017,591
5/7/20,2323,24,6,2179,600
5/8/20,2467,24,6,2324,638
5/9/20,2546,24,6,2461,660
5/10/20,2678,24,6,2554,700
5/11/20,2841,28,6,2811,727
5/12/20,2998,28,6,2991,740
5/13/20,3058,28,6,3131,759
5/14/20,3158,28,7,3310,770
5/15/20,3271,28,7,3400,802
5/16/20,3409,28,7,3487,807
5/17/20,3507,35,7,3660,816
5/18/20,3625,35,7,3758,819
5/19/20,3746,35,7,3901,826
5/20/20,3968,35,7,4098,862
5/21/20,4062,35,7,4280,883
5/22/20,4256,38,7,4377,903
5/23/20,4426,39,7,4638,914
5/24/20,4784,39,15,4703,917
5/25/20,4747,40,15,4774,919
5/26/20,4918,40,15,4881,929
