DATE,negative tests,Total Cases,Recovered,Deaths,Béni Mellal-Khénifra,Casablanca-Settat,Drâa-Tafilalet,Dakhla-Oued Ed-Dahab,Fez-Meknes,Guelmim-Oued Noun,Laâyoune-Sakia El Hamra,Marrakech-Safi,Oriental,Rabat-Salé-Kenitra,Souss-Massa,Tangier-Tetouan-Al Hoceima
3/1/2020,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/2020,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3/3/2020,32,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3/4/2020,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3/5/2020,40,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3/6/2020,50,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3/7/2020,55,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3/8/2020,55,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3/9/2020,60,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3/10/2020,63,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0
3/11/2020,78,6,0,1,0,2,0,0,1,0,0,3,0,0,0,0
3/12/2020,85,6,0,1,0,2,0,0,1,0,0,3,0,0,0,0
3/13/2020,94,8,0,1,0,3,0,0,1,0,0,3,0,0,1,0
3/14/2020,101,18,0,1,1,5,0,0,3,0,0,3,0,3,1,2
3/15/2020,122,26,1,1,2,8,0,0,4,0,0,3,0,6,1,2
3/16/2020,135,37,1,1,2,8,0,0,7,0,0,5,0,11,2,2
3/17/2020,196,44,1,2,2,10,0,0,7,1,0,5,1,12,2,4
3/18/2020,263,52,1,2,2,12,0,0,8,1,0,5,2,14,4,4
3/19/2020,307,61,2,2,2,12,0,0,12,1,0,6,3,15,6,4
3/20/2020,385,64,2,3,2,14,0,0,12,1,0,6,4,15,6,4
3/21/2020,441,86,3,3,2,20,0,0,19,1,0,7,4,20,6,7
3/22/2020,512,115,3,4,3,26,1,0,24,1,0,13,5,29,6,7
3/23/2020,643,134,5,4,3,34,1,0,29,1,0,15,5,32,6,8
3/24/2020,685,170,6,5,4,42,1,0,36,1,0,22,7,40,6,11
3/25/2020,740,225,7,6,6,59,2,0,50,1,0,32,7,45,8,15
3/26/2020,931,275,8,10,7,87,3,0,51,1,0,43,7,50,10,16
3/27/2020,1423,345,11,23,10,107,5,0,63,1,0,57,12,56,11,23
3/28/2020,1574,402,12,25,10,117,6,0,72,1,0,70,14,72,11,29
3/29/2020,1794,479,13,26,12,139,8,0,87,1,0,82,16,84,14,36
3/30/2020,2195,516,15,33,17,149,8,0,88,1,0,94,21,86,15,37
3/31/2020,2462,618,24,36,18,176,11,0,114,1,0,108,26,106,17,41
4/1/2020,2691,654,29,39,21,181,20,0,110,1,2,115,29,113,17,45
4/2/2020,2916,708,31,44,23,207,20,0,113,1,2,127,35,115,18,47
4/3/2020,3119,761,57,48,25,224,24,0,117,1,4,129,38,122,19,58
4/4/2020,3402,858,66,59,26,241,36,0,121,1,4,139,51,162,19,58
4/5/2020,3827,1021,76,70,28,295,41,0,133,1,4,186,55,181,19,78
4/6/2020,3984,1112,81,80,28,327,43,0,142,1,4,212,59,186,19,91
4/7/2020,4253,1185,93,90,34,353,51,0,160,1,4,204,73,187,19,99
4/8/2020,4477,1275,97,93,40,384,61,2,161,1,4,228,73,201,20,100
4/9/2020,5009,1374,109,97,41,404,67,2,167,1,4,258,86,209,20,115
4/10/2020,5791,1448,122,107,42,420,67,2,176,1,4,276,96,215,22,127
4/11/2020,6403,1545,146,111,47,447,71,2,194,1,4,285,104,226,23,141
4/12/2020,6943,1623,177,118,48,458,72,2,214,1,4,307,104,237,23,153
4/13/2020,7365,1763,203,126,48,521,78,2,233,1,4,335,123,225,24,169
4/14/2020,8034,2118,217,126,50,589,80,2,314,1,4,449,131,245,25,228
4/15/2020,8626,2200,229,127,53,634,80,2,315,1,4,468,137,251,26,229
4/16/2020,9713,2283,249,130,56,681,80,2,317,1,4,487,140,258,27,230
4/17/2020,10388,2564,281,135,58,716,82,2,368,1,4,648,143,259,28,255
4/18/2020,11004,2670,314,137,58,760,82,2,376,1,4,663,148,261,35,280
4/19/2020,12268,2855,327,141,60,782,86,2,418,1,4,724,149,273,44,312
4/20/2020,13340,3046,350,143,61,840,86,2,448,1,4,739,155,280,47,383
4/21/2020,14891,3209,393,145,62,855,155,2,480,1,4,739,157,281,47,426
4/22/2020,16439,3446,417,149,63,917,273,2,490,1,4,742,164,282,47,461
4/23/2020,18379,3568,456,155,78,942,284,2,492,2,4,772,165,286,50,491
4/24/2020,20175,3758,486,158,78,982,371,2,499,6,4,802,175,297,50,492
4/25/2020,21546,3897,537,159,78,1041,403,2,503,22,4,818,175,299,50,502
4/26/2020,23334,4065,593,161,78,1068,493,2,515,23,4,824,175,304,50,529
4/27/2020,25134,4120,695,162,78,1075,494,2,520,29,4,843,175,306,50,544
4/28/2020,26998,4252,778,165,80,1086,522,2,534,29,4,917,175,309,50,544
4/29/2020,28609,4321,928,168,80,1100,535,2,539,29,4,928,175,314,50,565
4/30/2020,30418,4423,984,170,80,1120,543,2,551,29,4,957,175,314,51,597
5/1/2020,32437,4569,1083,171,83,1157,546,2,573,29,4,1004,175,326,51,619
5/2/2020,34638,4729,1256,173,83,1203,546,2,584,36,4,1059,175,329,51,657
5/3/2020,37209,4903,1438,174,84,1265,548,2,619,39,4,1070,175,342,51,704
5/4/2020,40249,5053,1653,179,85,1306,548,2,662,39,4,1076,175,375,51,730
5/5/2020,44351,5219,1838,181,85,1362,551,2,665,39,4,1091,175,453,52,740
5/6/2020,47550,5408,2017,183,89,1403,567,2,695,40,4,1122,180,491,54,761
5/7/2020,50944,5548,2179,183,92,1500,557,2,721,41,4,1139,175,480,57,780
5/8/2020,54160,5711,2324,186,98,1579,557,2,729,43,4,1143,175,480,60,841
5/9/2020,57149,5910,2461,186,104,1591,559,2,812,43,4,1176,176,502,67,874
5/10/2020,59861,6063,2554,188,105,1622,559,2,855,43,4,1190,176,549,69,889
5/11/2020,62699,6281,2811,188,107,1732,571,2,889,43,4,1206,176,578,71,902
5/12/2020,65397,6418,2991,188,109,1752,584,2,899,45,4,1213,173,648,71,918
5/13/2020,69358,6512,3131,188,107,1814,584,2,911,43,4,1227,177,651,71,921
5/14/2020,71315,6607,3310,190,107,1857,585,2,923,43,4,1238,177,661,72,938
5/15/2020,74964,6652,3400,190,107,1882,585,2,928,43,4,1240,177,663,75,946
5/16/2020,78263,6741,3487,192,109,1940,586,2,938,43,4,1255,178,663,75,948
5/17/2020,83087,6870,3660,192,112,2039,586,2,945,43,4,1262,180,667,77,953
5/18/2020,88584,6952,3758,192,112,2076,586,2,958,43,4,1281,179,668,77,966
5/19/2020,93344,7023,3901,193,112,2120,586,2,960,43,4,1294,179,675,77,971
5/20/2020,98871,7133,4098,194,113,2190,586,2,980,43,4,1296,180,680,78,981
5/21/2020,105786,7211,4280,196,113,2242,586,5,984,43,4,1307,180,681,83,983
5/22/2020,116070,7332,4377,197,113,2330,586,5,990,43,4,1310,180,687,85,999
5/23/2020,126155,7406,4638,198,113,2385,586,5,992,43,4,1316,182,687,85,1008
5/24/2020,135449,7433,4703,199,113,2397,586,5,994,43,4,1319,186,688,85,1013
5/25/2020,144671,7532,4774,200,113,2458,586,5,995,43,4,1322,186,696,87,1037
5/26/2020,153788,7577,4881,202,113,2495,586,5,995,43,4,1327,186,696,87,1040
5/27/2020,163112,7601,4978,202,114,2507,586,5,997,43,4,1328,186,698,88,1045
